title,provider,certificate_type,rating,difficulty,students_enrolled,platform,price,reviews,lectures,duration,category
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,COURSE,4.9,0.0,6.4k,Coursera,,,,,Unknown
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,COURSE,4.7,0.0,43k,Coursera,,,,,Unknown
Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,1.0,350k,Coursera,,,,,Unknown
Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,0.0,5.8k,Coursera,,,,,Unknown
Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,0.0,33k,Coursera,,,,,Unknown
Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,0.0,27k,Coursera,,,,,Unknown
Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,0.0,66k,Coursera,,,,,Unknown
Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,0.0,19k,Coursera,,,,,Unknown
Construction Management,Columbia University,SPECIALIZATION,4.7,0.0,61k,Coursera,,,,,Unknown
Construction Project Management,Columbia University,COURSE,4.8,0.0,43k,Coursera,,,,,Unknown
Construction Scheduling,Columbia University,COURSE,4.8,0.0,15k,Coursera,,,,,Unknown
Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,0.0,220k,Coursera,,,,,Unknown
Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,0.0,27k,Coursera,,,,,Unknown
Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,0.0,26k,Coursera,,,,,Unknown
Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,,49k,Coursera,,,,,Unknown
Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,1.0,240k,Coursera,,,,,Unknown
Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,1.0,46k,Coursera,,,,,Unknown
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,1.0,10k,Coursera,,,,,Unknown
Corporate Finance Essentials,IESE Business School,COURSE,4.8,,56k,Coursera,,,,,Unknown
Corporate Strategy,UCL School of Management,COURSE,4.8,0.0,7.8k,Coursera,,,,,Unknown
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,,10k,Coursera,,,,,Unknown
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,0.0,75k,Coursera,,,,,Unknown
Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,0.0,15k,Coursera,,,,,Unknown
Costos para los Negocios,Universidad de Chile,COURSE,4.8,1.0,43k,Coursera,,,,,Unknown
Crash Course on Python,Google,COURSE,4.8,0.0,81k,Coursera,,,,,Unknown
Creative Problem Solving,University of Minnesota,COURSE,4.3,,140k,Coursera,,,,,Unknown
Creative Writing,Wesleyan University,SPECIALIZATION,4.6,0.0,140k,Coursera,,,,,Unknown
Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,,120k,Coursera,,,,,Unknown
"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,0.0,150k,Coursera,,,,,Unknown
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,1.0,26k,Coursera,,,,,Unknown
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,1.0,22k,Coursera,,,,,Unknown
Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,0.0,17k,Coursera,,,,,Unknown
Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,0.0,5.5k,Coursera,,,,,Unknown
Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,0.0,18k,Coursera,,,,,Unknown
Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,1.0,99k,Coursera,,,,,Unknown
Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,0.0,140k,Coursera,,,,,Unknown
Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,0.0,23k,Coursera,,,,,Unknown
Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,0.0,55k,Coursera,,,,,Unknown
Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,,23k,Coursera,,,,,Unknown
Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,0.0,100k,Coursera,,,,,Unknown
Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,0.0,220k,Coursera,,,,,Unknown
Data Analysis with Python,IBM,COURSE,4.7,0.0,110k,Coursera,,,,,Unknown
Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,0.0,24k,Coursera,,,,,Unknown
Data Collection and Processing with Python,University of Michigan,COURSE,4.7,1.0,19k,Coursera,,,,,Unknown
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,1.0,3k,Coursera,,,,,Unknown
Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,1.0,120k,Coursera,,,,,Unknown
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,1.0,120k,Coursera,,,,,Unknown
Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,0.0,42k,Coursera,,,,,Unknown
Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,1.0,140k,Coursera,,,,,Unknown
Data Science,Johns Hopkins University,SPECIALIZATION,4.5,0.0,830k,Coursera,,,,,Unknown
Data Science Math Skills,Duke University,COURSE,4.5,0.0,140k,Coursera,,,,,Unknown
Data Science Methodology,IBM,COURSE,4.6,0.0,89k,Coursera,,,,,Unknown
Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,0.0,740k,Coursera,,,,,Unknown
Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.4,1.0,210k,Coursera,,,,,Unknown
Data Visualization and Communication with Tableau,Duke University,COURSE,4.7,,130k,Coursera,,,,,Unknown
Data Visualization with Advanced Excel,PwC,COURSE,4.8,0.0,60k,Coursera,,,,,Unknown
Data Visualization with Python,IBM,COURSE,4.6,1.0,66k,Coursera,,,,,Unknown
Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.5,0.0,96k,Coursera,,,,,Unknown
Data Warehousing for Business Intelligence,University of Colorado System,SPECIALIZATION,4.5,2.0,140k,Coursera,,,,,Unknown
Data and Health Indicators in Public Health Practice,Johns Hopkins University,COURSE,4.7,0.0,18k,Coursera,,,,,Unknown
Data-driven Decision Making,PwC,COURSE,4.6,0.0,120k,Coursera,,,,,Unknown
Databases and SQL for Data Science,IBM,COURSE,4.7,0.0,110k,Coursera,,,,,Unknown
De-Mystifying Mindfulness,Universiteit Leiden,COURSE,4.8,0.0,150k,Coursera,,,,,Unknown
Decision-Making and Scenarios,University of Pennsylvania,COURSE,4.6,,31k,Coursera,,,,,Unknown
Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,1.0,690k,Coursera,,,,,Unknown
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,COURSE,4.8,0.0,44k,Coursera,,,,,Unknown
Dentistry 101,University of Michigan,COURSE,4.7,0.0,4.5k,Coursera,,,,,Unknown
Dermatology: Trip to skin,Novosibirsk State University ,COURSE,4.4,0.0,8.2k,Coursera,,,,,Unknown
Design Thinking for Innovation,University of Virginia,COURSE,4.6,0.0,240k,Coursera,,,,,Unknown
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,0.0,17k,Coursera,,,,,Unknown
Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,,67k,Coursera,,,,,Unknown
Design and Make Infographics (Project-Centered Course),Michigan State University,COURSE,4.7,,97k,Coursera,,,,,Unknown
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,1.0,19k,Coursera,,,,,Unknown
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,1.0,16k,Coursera,,,,,Unknown
Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,1.0,300k,Coursera,,,,,Unknown
Developing Applications with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.8,1.0,4k,Coursera,,,,,Unknown
Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,1.0,8k,Coursera,,,,,Unknown
Developing Your Musicianship,Berklee College of Music,COURSE,4.8,,41k,Coursera,,,,,Unknown
